Ques No.,ACC No,Member asking,PARTY,Executive,Date of publication,Due Date,Date replied to,Response,Status,NOTES,
6208,NW6939E,Ms N J Bollman,DA,Mineral and Petroleum Resources,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 14, 2025",Late,A,,
6209,NW6940E,Mr M Chetty,DA,"Planning, Monitoring and Evaluation","Friday, October 24, 2025","Friday, November 07, 2025","Tuesday, November 11, 2025",Late,A,,
6210,NW6941E,Mr M Chetty,DA,Police,"Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, November 26, 2025",Late,A,,
6211,NW6942E,Mr M Chetty,DA,Public Service and Administration,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, December 29, 2025",Late,A,,
6212,NW6943E,Mr J N de Villiers,DA,Public Works and Infrastructure,"Friday, October 24, 2025","Friday, November 07, 2025",LAPSED,LAPSED,L,,
6213,NW6944E,Mr J N de Villiers,DA,"Science, Technology and Innovation","Friday, October 24, 2025","Friday, November 07, 2025","Thursday, December 04, 2025",Late,A,,
6214,NW6945E,Mr J N de Villiers,DA,Small Business Development,"Friday, October 24, 2025","Friday, November 07, 2025","Thursday, November 20, 2025",late,A,,
6215,NW6946E,Ms T A Khanyile,DA,Social Development,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, December 22, 2025",Late,A,,
6216,NW6947E,Ms T A Khanyile,DA,"Sport, Arts and Culture","Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 14, 2025",Late,A,,
6217,NW6948E,Ms T A Khanyile,DA,Minister in The Presidency,"Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, January 07, 2026",Late,A,,
6218,NW6949E,Mr D D Klopper,DA,Tourism,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, December 08, 2025",Late,A,,
6219,NW6950E,Mr D D Klopper,DA,"Trade, Industry and Competition","Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, December 10, 2025",Late,A,,
6220,NW6951E,Mr D D Klopper,DA,Transport,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6221,NW6952E,Ms F Mbiko,DA,Water and Sanitation,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, November 17, 2025",Late,A,,
6222,NW6953E,Ms F Mbiko,DA,"Women, Youth and Persons with Disabilities","Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, November 19, 2025",Late,A,,
6223,NW6954E,Mrs L F Tito,EFF,Basic Education,"Friday, October 24, 2025","Friday, November 07, 2025","Tuesday, November 11, 2025",Late,A,,
6224,NW6955E,Mrs L F Tito,EFF,Basic Education,"Friday, October 24, 2025","Friday, November 07, 2025","Tuesday, November 11, 2025",Late,A,,
6225,NW6956E,Mrs L F Tito,EFF,Higher Education,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, December 19, 2025",Late,A,,
6226,NW6957E,Dr S S Thembekwayo,EFF,"Science, Technology and Innovation","Friday, October 24, 2025","Friday, November 07, 2025","Thursday, November 20, 2025",Late,A,,
6227,NW6958E,Dr S S Thembekwayo,EFF,"Science, Technology and Innovation","Friday, October 24, 2025","Friday, November 07, 2025","Friday, December 12, 2025",Late,A,,
6228,NW6959E,Dr S S Thembekwayo,EFF,"Science, Technology and Innovation","Friday, October 24, 2025","Friday, November 07, 2025","Friday, December 12, 2025",Late,A,,
6229,NW6960E,Mr C Matiwane,EFF,Basic Education,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6230,NW6961E,Mr C Matiwane,EFF,Basic Education,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6231,NW6962E,Mr T P Mogale,EFF,Police,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 14, 2025",Late,A,,
6232,NW6963E,Mr T P Mogale,EFF,Home Affairs,"Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, November 05, 2025",Timeous,A,,
6233,NW6964E,Mr T P Mogale,EFF,Employment and Labour,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6234,NW6965E,Ms S Gcilishe,EFF,Communications and Digital Technologies,"Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, January 07, 2026",Late,A,,
6235,NW6966E,Ms S Gcilishe,EFF,Communications and Digital Technologies,"Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, December 03, 2025",Late,A,,
6236,NW6967E,Ms S Gcilishe,EFF,Communications and Digital Technologies,"Friday, October 24, 2025","Friday, November 07, 2025","Tuesday, December 30, 2025",Late,A,,
6237,NW6969E,Ms L H Arries,EFF,Communications and Digital Technologies,"Friday, October 24, 2025","Friday, November 07, 2025",LAPSED,LAPSED,L,,
6238,NW6970E,Ms L H Arries,EFF,Basic Education,"Friday, October 24, 2025","Friday, November 07, 2025","Thursday, December 04, 2025",Late,A,,
6239,NW6971E,Ms M R Mohlala,EFF,Justice and Constitutional Development,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, January 05, 2026",Late,A,,
6240,NW6972E,Ms M R Mohlala,EFF,Justice and Constitutional Development,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 28, 2025",Late,A,,
6241,NW6973E,Ms M R Mohlala,EFF,Justice and Constitutional Development,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 28, 2025",Late,A,,
6242,NW6974E,Ms N R Mashabela,EFF,Tourism,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, December 08, 2025",Late,A,,
6243,NW6975E,Ms N R Mashabela,EFF,Tourism,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, December 19, 2025",Late,A,,
6244,NW6976E,Ms N R Mashabela,EFF,Tourism,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, December 19, 2025",Late,A,,
6245,NW6977E,Ms L Managa,EFF,"Forestry, Fisheries and the Environment","Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, December 31, 2025",Late,A,,
6246,NW6978E,Ms L Managa,EFF,"Forestry, Fisheries and the Environment","Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, December 31, 2025",Late,A,,
6247,NW6979E,Ms L Managa,EFF,"Forestry, Fisheries and the Environment","Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, December 31, 2025",Late,A,,
6248,NW6980E,Ms M Dlamini,EFF,Water and Sanitation,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, November 17, 2025",Late,A,,
6249,NW6981E,Ms M Dlamini,EFF,Finance,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, November 24, 2025",Late,A,,
6250,NW6982E,Ms M Dlamini,EFF,Justice and Constitutional Development,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, January 05, 2026",Late,A,,
6251,NW6983E,Mr L M Komane,EFF,Police,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6252,NW6984E,Ms N Tafeni,EFF,Social Development,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, November 03, 2025",Timeous,A,,
6253,NW6985E,Ms N Tafeni,EFF,Land Reform and Rural Development,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6254,NW6986E ,Ms P Marais,EFF,Water and Sanitation,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, November 17, 2025",Late,A,,
6255,NW6987E ,Ms P Marais,EFF,Cooperative Governance and Traditional Affairs,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6256,NW6988E,Ms P Marais,EFF,Health,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, November 17, 2025",Late,A,,
6257,NW6989E,Mr M B Blose,EFF,"Sport, Arts and Culture","Friday, October 24, 2025","Friday, November 07, 2025","Friday, October 31, 2025",Timeous,A,,
6258,NW6990E,Mr M B Blose,EFF,Police,"Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, November 26, 2025",Late,A,,
6259,NW6991E,Mr M B Blose,EFF,Public Works and Infrastructure,"Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, January 07, 2026",Late,A,,
6260,NW6992E,Mr C G Niehaus,EFF,Justice and Constitutional Development,"Friday, October 24, 2025","Friday, November 07, 2025","Tuesday, December 09, 2025",Late,A,,
6261,NW6993E,Mr C G Niehaus,EFF,International Relations and Cooperation,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 14, 2025",Late,A,,
6262,NW6995E,Ms C N Mkhonto,EFF,Basic Education,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, December 19, 2025",Late,A,,
6263,NW6997E,Dr W J Boshoff,FF Plus,Basic Education,"Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, January 07, 2026",Late,A,,
6264,NW6998E,Mrs H Denner,FF Plus,Employment and Labour,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6265,NW6999E,Mrs H Denner,FF Plus,Employment and Labour,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6266,NW6071E,Ms N Tafeni ,EFF,  Police,"Friday, October 31, 2025","Friday, November 14, 2025","Monday, December 15, 2025",Late,A,,
6267,NW6749E,Mr S S Zibi ,Rise Mzansi," Trade, Industry and Competition","Friday, October 31, 2025","Friday, November 14, 2025","Wednesday, December 10, 2025",Late,A,,
6268,NW6884E,Dr D C Christians ,DA, Higher Education,"Friday, October 31, 2025","Friday, November 14, 2025","Tuesday, December 02, 2025",Late,A,,
6269,NW6994E,Mr C G Niehaus ,EFF, International Relations and Cooperation,"Friday, October 31, 2025","Friday, November 14, 2025","Tuesday, November 18, 2025",Late,A,,
6270,NW7001E,Mr C Hattingh ,DA, Defence and Military Veterans,"Friday, October 31, 2025","Friday, November 14, 2025","Monday, December 15, 2025",Late,A,,
6271,NW7002E,Mr S M Gana ,Rise Mzansi, Communications and Digital Technologies,"Friday, October 31, 2025","Friday, November 14, 2025","Wednesday, December 03, 2025",Late,A, [1091] [Rule 1378],
6272,NW7003E,Mr S M Gana ,Rise Mzansi, Electricity and Energy,"Friday, October 31, 2025","Friday, November 14, 2025","Friday, December 12, 2025",Late,A, [1092] [Rule 1378],
6273,NW7011E,Mr S I Subrathie ,ANC, Communications and Digital Technologies,"Friday, October 31, 2025","Friday, November 14, 2025","Wednesday, January 07, 2026",Late,A, [1100] [Rule 1378],
6274,NW7012E,Mr M Nontsele ,ANC, Employment and Labour,"Friday, October 31, 2025","Friday, November 14, 2025","Friday, November 14, 2025",Timeous,A, [1101] [Rule 1378],
6275,NW7013E,Mr S C Sekoati ,ANC, Finance,"Friday, October 31, 2025","Friday, November 14, 2025","Monday, December 01, 2025",Late,A, [1102] [Rule 1378],
6276,NW7016E,Ms M L Mofokeng ,ANC, Mineral and Petroleum Resources,"Friday, October 31, 2025","Friday, November 14, 2025","Friday, November 07, 2025",Timeous,A, [1105] [Rule 1378],
6277,NW7018E,Ms M M Senne ,ANC, Mineral and Petroleum Resources,"Friday, October 31, 2025","Friday, November 14, 2025","Friday, November 07, 2025",Timeous,A, [1107] [Rule 1378],
6278,NW7019E,Ms M M Senne ,ANC, Mineral and Petroleum Resources,"Friday, October 31, 2025","Friday, November 14, 2025","Monday, December 15, 2025",Late,A, [1108] [Rule 1378],
6279,NW7020E,Mr M Mrara ,ANC, Communications and Digital Technologies,"Friday, October 31, 2025","Friday, November 14, 2025","Monday, January 05, 2026",Late,A, [1109] [Rule 1378],
6280,NW7021E,Ms D D Pule ,ANC, Agriculture,"Friday, October 31, 2025","Friday, November 14, 2025","Wednesday, December 24, 2025",Late,A, [1110] [Rule 1378],
6281,NW7022E,Ms F Hassan ,ANC, Mineral and Petroleum Resources,"Friday, October 31, 2025","Friday, November 14, 2025","Friday, November 14, 2025",Timeous,A, [1111] [Rule 1378],
6282,NW7024E,Ms O M C Maotwe ,EFF, Finance,"Friday, October 31, 2025","Friday, November 14, 2025","Monday, November 24, 2025",Late,A, [1113] [Rule 1378],
6283,NW7026E,Mr S Thambo ,EFF, Communications and Digital Technologies,"Friday, October 31, 2025","Friday, November 14, 2025","Wednesday, January 07, 2026",Late,A, [1114] [Rule 1378],
6284,NW7029E,Mrs E N Ntlangwini ,EFF, Mineral and Petroleum Resources,"Friday, October 31, 2025","Friday, November 14, 2025","Friday, November 07, 2025",Timeous,A, [1117] [Rule 1378],
6285,NW7030E,Ms L H Arries ,EFF, Agriculture,"Friday, October 31, 2025","Friday, November 14, 2025","Wednesday, December 24, 2025",Late,A, [1118] [Rule 1378],
6286,NW7031E,Ms L H Arries ,EFF, Agriculture,"Friday, October 31, 2025","Friday, November 14, 2025","Wednesday, November 12, 2025",Timeous,A, [1119] [Rule 1378],
6287,NW7033E,Ms L Managa ,EFF," Forestry, Fisheries and the Environment","Friday, October 31, 2025","Friday, November 14, 2025","Wednesday, December 31, 2025",Late,A, [1121] [Rule 1378],
6288,NW7034E,Ms T J Mokwele ,EFF, Employment and Labour,"Friday, October 31, 2025","Friday, November 14, 2025","Friday, November 14, 2025",Timeous,A, [1122] [Rule 1378],
6289,NW7035E,Ms T J Mokwele ,EFF, Employment and Labour,"Friday, October 31, 2025","Friday, November 14, 2025","Friday, November 14, 2025",Timeous,A, [1123] [Rule 1378],
6290,NW7036E,Mr M N Paulsen ,EFF, Electricity and Energy,"Friday, October 31, 2025","Friday, November 14, 2025","Friday, December 12, 2025",Late,A, [1124] [Rule 1378],
6291,NW7037E,Mr M N Paulsen ,EFF, Electricity and Energy,"Friday, October 31, 2025","Friday, November 14, 2025","Friday, December 12, 2025",Late,A, [1125] [Rule 1378],
6292,NW7038E,Ms L M Ngobeni ,ActionSA, Employment and Labour,"Friday, October 31, 2025","Friday, November 14, 2025","Tuesday, November 11, 2025",Timeous,A, [1126] [Rule 1378],
6293,NW7039E,Mr A D Beesley ,ActionSA, Finance,"Friday, October 31, 2025","Friday, November 14, 2025","Wednesday, November 26, 2025",Late,A, [1127] [Rule 1378],
6294,NW7040E,Ms L M Ngobeni ,ActionSA, Employment and Labour,"Friday, October 31, 2025","Friday, November 14, 2025","Friday, November 14, 2025",Timeous,A, [1128] [Rule 1378],
6295,NW7045E,Mr C F B Smit ,DA, Agriculture,"Friday, October 31, 2025","Friday, November 14, 2025","Friday, November 07, 2025",Timeous,A, [1133] [Rule 1378],
6296,NW7046E,Mr C F B Smit ,DA, Agriculture,"Friday, October 31, 2025","Friday, November 14, 2025","Monday, December 22, 2025",Late,A, [1134] [Rule 1378],
6297,NW7047E,Ms S Singh ,DA, Communications and Digital Technologies,"Friday, October 31, 2025","Friday, November 14, 2025","Wednesday, December 03, 2025",Late,A, [1135] [Rule 1378],
6298,NW7048E,Ms S Singh ,DA, Communications and Digital Technologies,"Friday, October 31, 2025","Friday, November 14, 2025","Wednesday, January 07, 2026",Late,A, [1136] [Rule 1378],
6299,NW7049E,Ms T K Bodlani ,DA, Communications and Digital Technologies,"Friday, October 31, 2025","Friday, November 14, 2025","Wednesday, December 17, 2025",Late,A, [1137] [Rule 1378],
6300,NW7051E,Mr K J Mileham ,DA, Electricity and Energy,"Friday, October 31, 2025","Friday, November 14, 2025","Friday, December 12, 2025",Late,A, [1139] [Rule 1378],
6301,NW7052E,Mr K J Mileham ,DA, Electricity and Energy,"Friday, October 31, 2025","Friday, November 14, 2025","Friday, December 12, 2025",Late,A, [1140] [Rule 1378],
6302,NW7053E,Mr E V Baptie ,DA, Electricity and Energy,"Friday, October 31, 2025","Friday, November 14, 2025","Friday, December 12, 2025",Late,A, [1141] [Rule 1378],
6303,NW7054E,Mr E V Baptie ,DA, Electricity and Energy,"Friday, October 31, 2025","Friday, November 14, 2025","Friday, December 12, 2025",Late,A, [1142] [Rule 1378],
6304,NW7055E,Dr M J Burke ,DA, Finance,"Friday, October 31, 2025","Friday, November 14, 2025","Monday, December 01, 2025",Late,A, [1143] [Rule 1378],
6305,NW7056E,Dr M J Burke ,DA, Finance,"Friday, October 31, 2025","Friday, November 14, 2025","Wednesday, November 26, 2025",Late,A, [1144] [Rule 1378],
6306,NW7057E,Mrs W R Alexander ,DA, Finance,"Friday, October 31, 2025","Friday, November 14, 2025","Monday, November 24, 2025",Late,A, [1145] [Rule 1378],
6307,NW7058E,Mrs W R Alexander ,DA, Finance,"Friday, October 31, 2025","Friday, November 14, 2025","Monday, December 01, 2025",Late,A, [1146] [Rule 1378],
6308,NW7059E,Mr W D Peach ,DA," Forestry, Fisheries and the Environment","Friday, October 31, 2025","Friday, November 14, 2025","Wednesday, December 31, 2025",Late,A, [1147] [Rule 1378],
6309,NW7060E,Mr W D Peach ,DA," Forestry, Fisheries and the Environment","Friday, October 31, 2025","Friday, November 14, 2025","Wednesday, December 31, 2025",Late,A, [1148] [Rule 1378],
6310,NW7061E,Mr A D de Blocq van Sheltinga ,DA," Forestry, Fisheries and the Environment","Friday, October 31, 2025","Friday, November 14, 2025","Wednesday, December 31, 2025",Late,A, [1149] [Rule 1378],
6311,NW7062E,Mr A D de Blocq van Sheltinga ,DA,"Forestry, Fisheries and the Environment","Friday, October 31, 2025","Friday, November 14, 2025","Wednesday, December 31, 2025",Late,A, [1150] [Rule 1378],
6312,NW7063E,Mr M Bagraim ,DA, Employment and Labour,"Friday, October 31, 2025","Friday, November 14, 2025","Tuesday, November 11, 2025",Timeous,A, [1151] [Rule 1378],
6313,NW7065E,Mrs D van der Walt ,DA, Employment and Labour,"Friday, October 31, 2025","Friday, November 14, 2025","Tuesday, November 11, 2025",Timeous,A, [1153] [Rule 1378],
6314,NW7067E,Mr S Zondi ,DA, Mineral and Petroleum Resources,"Friday, October 31, 2025","Friday, November 14, 2025","Friday, November 14, 2025",Timeous,A, [1155] [Rule 1378],
6315,NW7069E,Mr N M Hadebe ,IFP, Electricity and Energy,"Friday, October 31, 2025","Friday, November 14, 2025","Friday, December 12, 2025",Late,A, [1157] [Rule 1378],
6316,NW7070E,Ms N H Mhlongo ,IFP, Mineral and Petroleum Resources,"Friday, October 31, 2025","Friday, November 14, 2025","Friday, November 14, 2025",Timeous,A, [1158] [Rule 1378],
6317,NW7071E,Inkosi R N Cebekhulu ,IFP, Agriculture,"Friday, October 31, 2025","Friday, November 14, 2025","Wednesday, November 12, 2025",Timeous,A, [1159] [Rule 1378],
6318,NW7073E,Ms N H Mhlongo ,IFP, Electricity and Energy,"Friday, October 31, 2025","Friday, November 14, 2025","Friday, December 12, 2025",Late,A, [1161] [Rule 1378],
6319,NW7074E,Mr T M Langa ,IFP, Communications and Digital Technologies,"Friday, October 31, 2025","Friday, November 14, 2025","Wednesday, December 17, 2025",Late,A, [1162] [Rule 1378],
